,Título,types
"0,Restaurante Cepa,""['restaurant', 'food', 'point_of_interest', 'establishment']"""
"39,""Via Vincenzo Gioberti, 66"",['street_address']"
"40,Mercato di Sant’Ambrogio,""['tourist_attraction', 'point_of_interest', 'establishment']"""
"41,Vista panoramica di Firenze,""['point_of_interest', 'establishment']"""
"42,Porta Romana,""['restaurant', 'food', 'point_of_interest', 'establishment']"""
"43,St Trinity Bridge,""['tourist_attraction', 'point_of_interest', 'establishment']"""
"44,Finestrella,""['tourist_attraction', 'point_of_interest', 'establishment']"""
"45,Osteria dell'Orsa,""['restaurant', 'food', 'point_of_interest', 'establishment']"""
"46,KOF - King of The Fork,""['cafe', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']"""
"47,""São Paulo Tap House - 42 taps, Choperia, Hamburgueria e Churrasco Texano"",""['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"""
"48,Mercadão das Flores,""['point_of_interest', 'establishment']"""
"49,Squella Restaurant,""['restaurant', 'food', 'point_of_interest', 'establishment']"""
"50,Plaza Garibaldi,""['point_of_interest', 'tourist_attraction', 'establishment']"""
"51,Madera & Carbón,""['restaurant', 'food', 'point_of_interest', 'establishment']"""
"52,Beth Bakery,""['bakery', 'cafe', 'food', 'point_of_interest', 'store', 'establishment']"""
"53,Blés D'or,""['bakery', 'food', 'store', 'point_of_interest', 'establishment']"""
"54,Papelaria Tendmais,""['point_of_interest', 'store', 'establishment']"""
"55,Macy's,""['shoe_store', 'store', 'point_of_interest', 'establishment']"""
"56,Brandy Melville - Flagship,""['clothing_store', 'point_of_interest', 'store', 'establishment']"""
"57,by CHLOE. SoHo,""['clothing_store', 'store', 'point_of_interest', 'establishment']"""
"58,""DŌ, Cookie Dough Confections"",""['food', 'point_of_interest', 'store', 'establishment']"""
"59,The William Vale,""['lodging', 'point_of_interest', 'establishment']"""
"60,Gallow Green,""['restaurant', 'food', 'point_of_interest', 'establishment']"""
"61,Oyshio Sushi Bar,""['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"""
"62,A Fábrica Gastro Beer,""['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"""
"63,Cervejaria Micaela Rosa,""['food', 'point_of_interest', 'establishment']"""
"64,King Hop Beers Craft,""['bar', 'store', 'point_of_interest', 'establishment']"""
